SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,10/11/24,4490.45,4517.45,4589,4461.3,4511.25,4528.98,253809,114.9497,36444,106183,41.84
CAMS, EQ,10/10/24,4410.35,4442,4528.95,4405.55,4490.45,4487.16,205033,92.0017,29308,63601,31.02
CAMS, EQ,10/9/24,4410.35,4399.95,4440,4370.05,4410.35,4413.69,169139,74.6528,27990,59697,35.29
CAMS, EQ,10/8/24,4109.05,4125,4447.95,4082.9,4410.35,4303.46,454223,195.4729,67900,160030,35.23
CAMS, EQ,10/7/24,4266.5,4266,4305,4050,4109.05,4133.59,315281,130.3242,54168,133571,42.37
CAMS, EQ,10/4/24,4422.4,4412.95,4439,4245.3,4266.5,4306.28,292643,126.0203,47548,120828,41.29
CAMS, EQ,10/3/24,4580.2,4479.95,4558,4411,4422.4,4472.09,270543,120.9892,42112,125493,46.39
CAMS, EQ,10/1/24,4409.1,4420,4599,4420,4580.2,4530.95,359687,162.9723,36725,124337,34.57
CAMS, EQ,9/30/24,4454.95,4455,4479,4400,4409.1,4427.64,192150,85.0772,29782,110454,57.48
CAMS, EQ,9/27/24,4475.95,4475,4568,4421,4454.95,4514.58,284159,128.2858,33305,117040,41.19
CAMS, EQ,9/26/24,4423.4,4545,4557,4426.6,4475.95,4485.71,660105,296.1037,76473,213479,32.34
CAMS, EQ,9/25/24,4527.8,4530,4535,4411,4423.4,4459.15,201006,89.6316,31618,118759,59.08
CAMS, EQ,9/24/24,4611.4,4611.4,4624.95,4511,4527.8,4548.1,234978,106.8704,28799,91184,38.81
CAMS, EQ,9/23/24,4459.6,4523,4773.75,4500,4611.4,4661.71,1315365,613.1853,116514,319626,24.3
CAMS, EQ,9/20/24,4424.65,4455,4532.55,4436,4459.6,4478.47,232335,104.0505,29545,102444,44.09
CAMS, EQ,9/19/24,4526.1,4569,4579,4360.1,4424.65,4461.05,302339,134.8751,46621,127306,42.11
CAMS, EQ,9/18/24,4517.1,4525,4592.45,4488.45,4526.1,4546.61,234979,106.8358,27203,72906,31.03
CAMS, EQ,9/17/24,4520.3,4533.95,4595,4454.9,4517.1,4526.22,254620,115.2465,26610,89078,34.98
CAMS, EQ,9/16/24,4401.25,4417,4544,4377.15,4520.3,4493.31,425294,191.0977,48290,154636,36.36
CAMS, EQ,9/13/24,4411.1,4429,4463.65,4375.05,4401.25,4409.37,103345,45.5686,13229,49693,48.08
CAMS, EQ,9/12/24,4370.6,4407,4424,4375,4411.1,4398.96,122320,53.8081,19430,63288,51.74
CAMS, EQ,9/11/24,4252.2,4300,4433.25,4292.9,4370.6,4382.31,473950,207.6998,50731,153180,32.32
CAMS, EQ,9/10/24,4247.95,4285,4298,4240,4252.2,4257.2,128634,54.7621,20730,72600,56.44
CAMS, EQ,9/9/24,4340.75,4321,4339.9,4234.6,4247.95,4262.14,134259,57.2231,20133,67543,50.31
CAMS, EQ,9/6/24,4417.75,4449,4449,4328,4340.75,4367.67,122622,53.5572,18246,55261,45.07
CAMS, EQ,9/5/24,4436.35,4465,4503,4404.05,4417.75,4451.89,236734,105.3914,17508,149356,63.09
CAMS, EQ,9/4/24,4378.9,4335,4509,4312.9,4436.35,4448.09,335076,149.0449,35782,123486,36.85
CAMS, EQ,9/3/24,4418.1,4444,4444,4360,4378.9,4386.41,126821,55.6289,15895,59344,46.79
CAMS, EQ,9/2/24,4261.25,4300,4449,4273.85,4418.1,4361.12,296302,129.2207,39833,88918,30.01
CAMS, EQ,8/30/24,4336.2,4366.95,4389,4218.35,4261.25,4300.44,170411,73.2843,21987,83399,48.94
CAMS, EQ,8/29/24,4337.95,4346.9,4418.9,4309,4336.2,4353.75,150538,65.5404,20532,38479,25.56
CAMS, EQ,8/28/24,4378.05,4418,4439.95,4325.8,4337.95,4361.82,189642,82.7184,27155,86567,45.65
CAMS, EQ,8/27/24,4434.2,4430,4430,4365,4378.05,4388.46,205496,90.1811,24197,98567,47.97
CAMS, EQ,8/26/24,4449.3,4434,4575.2,4396,4434.2,4485.84,359301,161.1767,34291,101156,28.15
CAMS, EQ,8/23/24,4387.9,4413,4460,4380.1,4449.3,4422.49,221929,98.1478,26279,62822,28.31
CAMS, EQ,8/22/24,4488.9,4518,4556.9,4352.55,4387.9,4436.91,319859,141.9186,31375,114045,35.65
CAMS, EQ,8/21/24,4410.05,4442,4540,4395.35,4488.9,4472.89,354671,158.6406,39045,111524,31.44
CAMS, EQ,8/20/24,4546.9,4598.6,4638.9,4400,4410.05,4511.67,474648,214.1456,54466,176333,37.15
CAMS, EQ,8/19/24,4272.7,4390,4638,4313.25,4546.9,4506.89,1257066,566.5457,122052,294102,23.4
CAMS, EQ,8/16/24,4168.75,4166.45,4325,4160.05,4272.7,4261.16,434508,185.1506,52003,178398,41.06
