,StockName,scID,sector
519,Suprajit Eng,SE15,Automobile & Ancillaries
520,Alembic Pharma,AP29,Healthcare
521,IIFL Capital ,IIFLS54277,Finance
522,Global Health,GH03,Healthcare
523,Power Mech,PMP,Infrastructure
524,Bharat Elec,BE03,Aviation
525,Bank of Baroda,BOB,Banks
526,Syrma SGS,SST07,Capital Goods
527,Thomas Cook,TCI,Hospitality
528,Voltas,V,Consumer Durables
529,Sharda Motor,SMI04,Automobile & Ancillaries
530,Bhansali Eng,BEP,Chemicals
531,Piramal Enter,NP07,Finance
532,NRB Bearings,NRB,Automobile & Ancillaries
533,Sun Pharma,SPI,Healthcare
534,TATA Cons. Prod,TT,Agri
535,Akums Drugs & P,ADP03,Healthcare
536,Gujarat Pipavav,GPP03,Logistics
537,KNR Construct,KC13,Infrastructure
538,Vijaya Diagnost,VDC01,Healthcare
539,Electrosteel,EC02,Metals & Mining
540,Tilaknagar Ind,TI09,Alcohol
541,ONGC,ONG,Oil & Gas
542,Syngene Intl,SI62,Healthcare
543,JTL Ind.,JTL01,Metals & Mining
544,Nestle,NI,FMCG
545,United Brewerie,UBB,Alcohol
546,C. E. Info Syst,CIS01,Software & IT Services
547,Pricol,PIC01,Automobile & Ancillaries
548,CCL Products,CC10,Agri
549,Den Networks,DN02,Telecom
550,Guj Amb Exports,GAE,Agri
551,HFCL,HFC,Telecom
552,Tata Motors,TEL,Automobile & Ancillaries
553,Balkrishna Ind,BI03,Automobile & Ancillaries
554,Page Industries,PI35,Textiles
555,Just Dial,JD02,Software & IT Services
556,Siemens,S,Capital Goods
557,JSW Infra,JIL05,Infrastructure
558,TeamLease Ser.,TS15,Miscellaneous
559,Tejas Networks,TN,Telecom
560,Allcargo,AGL02,Logistics
561,Borosil Renew,BGW,Construction Materials
562,Balrampur Chini,BCM,Agri
563,Varun Beverages,VB05,FMCG
564,Godrej Consumer,GCP,FMCG
565,HDFC Life,HSL01,Insurance
566,Ideaforge Tech,IT07,Capital Goods
567,Godfrey Phillip,GPI,FMCG
568,Time Techno,TT08,Plastic Products
569,Blue Dart,BDE,Logistics
570,Alkyl Amines,AAC,Chemicals
571,Advanced Enzyme,AET02,Healthcare
572,Himadri Special,HCI01,Chemicals
573,Birlasoft,KPI01,Software & IT Services
574,Aarti Drugs,AD,Healthcare
575,Jyoti CNC Auto,JCA,Miscellaneous
576,Adani Total Gas,ADG01,Industrial Gases & Fuels
577,Dr Lal PathLab,DLP01,Healthcare
578,PNC Infratech,PI29,Infrastructure
579,Jai Balaji Ind,JBS,Metals & Mining
580,Astral Ltd,APT02,Plastic Products
581,Paras Defence,PDS01,Miscellaneous
582,Torrent Pharma,TP06,Healthcare
583,BPCL,BPC,Oil & Gas
584,Jain Irrigation,JIS02,Plastic Products
585,Alkem Lab,AL16,Healthcare
586,Dreamfolks Ser.,DS10,Miscellaneous
587,Greaves Cotton,G,Capital Goods
588,Lupin,LC03,Healthcare
589,Ethos,E10,Consumer Durables
590,Rossari,RB04,Chemicals
591,Anupam Rasayan,ARI02,Chemicals
592,FDC,FDC,Healthcare
593,Optiemus Infra,AF02,Telecom
594,Jubilant Food,JF04,FMCG
595,Rail Vikas,RVN,Infrastructure
596,Action Const,ACE3,Capital Goods
597,Schneider Infra,SEI04,Capital Goods
598,Indian Renew,IREDAL,Power
599,Rainbow Child,RCM03,Healthcare
600,Guj Heavy Chem,GHC,Chemicals
601,Vaibhav Global,VG02,Diamond  &  Jewellery
602,Chola Invest.,CIF01,Finance
603,Strides Pharma,SA10,Healthcare
604,Aditya Birla Re,CTI,Real Estate
605,Home First,HFF,Finance
606,Heritage Foods,HFI,FMCG
607,Bajaj Electric,BE,Consumer Durables
608,Hikal,HCI,Healthcare
609,Astra Microwave,AMP01,Miscellaneous
610,Ipca Labs,IL,Healthcare
611,ICICI Prudentia,IPL01,Insurance
612,Ramky Infra,RI29,Infrastructure
613,GlaxoSmithKline,GI,Healthcare
614,Biocon,BL03,Healthcare
615,Rajesh Exports,RE07,Diamond  &  Jewellery
616,NCC,NCC01,Infrastructure
617,FIEM Ind,FIE,Automobile & Ancillaries
618,Jindal Worldwid,JW01,Textiles
619,Zydus Life,CHC,Healthcare
620,West Coast Pap,WCP,Paper
621,JK Paper,CPM01,Paper
622,Technocraft Ind,TII01,Metals & Mining
623,DOMS Industries,DIL03,Miscellaneous
624,Bharat Dynamics,BDL01,Miscellaneous
625,Max Financial,MI,Finance
626,Ashok Leyland,AL,Automobile & Ancillaries
627,Fusion Finance,FMF,Finance
628,Thirumalai Chem,TC07,Chemicals
629,Harsha Engineer,HEI,Capital Goods
630,Zen Tech,ZT01,Miscellaneous
631,Hathway Cable,HCD,Telecom
632,Zee Entertain,ZT,Media & Entertainment
633,Elgi Equipments,EE01,Capital Goods
634,Jindal Stainles,JS07,Metals & Mining
635,New India Assur,NIA,Insurance
636,Aditya Birla F,PFR,Retailing
637,Usha Martin,UB01,Metals & Mining
638,Macrotech Dev,MD04,Real Estate
639,Birla Corp,BC07,Diversified
640,Abbott India,KP,Healthcare
641,Lloyds Engineer,LSI01,Capital Goods
642,Jana SFB,JSFBL,Banks
643,Mastek,M,Software & IT Services
644,SBI Life Insura,SLI03,Insurance
645,Cummins,CI02,Automobile & Ancillaries
646,Colgate,CPI,FMCG
647,Saregama India,GCI,Media & Entertainment
648,Tips Music,TI25,Media & Entertainment
649,Granules India,GI22,Healthcare
650,Piramal Pharma,PP37,Healthcare
651,Jupiter Wagons,CEB,Automobile & Ancillaries
652,Oracle Fin Serv,S11,Software & IT Services
653,CRISIL,CRI,Miscellaneous
654,Fortis Health,FH,Healthcare
655,Dishman Carboge,DCA,Healthcare
656,Sun Pharma Adv,SPA,Healthcare
657,Equinox India,IRE01,Real Estate
658,Jubilant Pharmo,VOC,Healthcare
659,Divis Labs,DL03,Healthcare
660,Aadhar Housing ,AHFL,Finance
661,Cello World,CWL,FMCG
662,Linde India,BOC,Diversified
663,JK Bank,JKB,Banks
664,General Insuran,GIC12,Insurance
665,Karnataka Bank,KB04,Banks
666,Shriram Pistons,SPR01,Automobile & Ancillaries
667,Laurus Labs,LL06,Healthcare
668,Tanla Platforms,TS11,Software & IT Services
669,Indiamart Inter,II22,Retailing
670,HBL Eng,SNP,Automobile & Ancillaries
671,Shriram Finance,STF,Finance
672,Orient Electric,ORIEN54130,FMCG
673,India Glycols,IG,Chemicals
674,Aster DM Health,ADH,Healthcare
675,Religare Enterp,RE09,Finance
676,Karur Vysya,KVB,Banks
677,GE Shipping,GES,Logistics
678,Datamatics Glob,DTL,Software & IT Services
679,Bajaj Finance,BAF,Finance
680,Easy Trip,ETP01,Hospitality
681,Garden Reach Sh,GRS01,Ship Building
682,NALCO,NAC,Metals & Mining
683,Wockhardt,W05,Healthcare
684,Sequent Scienti,VTF,Healthcare
685,Cochin Shipyard,CS17,Ship Building
686,IIFL Finance,II15,Finance
687,Poly Medicure,PM06,Healthcare
688,IGL,IG04,Industrial Gases & Fuels
689,Indigo Paints,IP07,Chemicals
690,Aurobindo Pharm,AP,Healthcare
