Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
IDFCFIRSTB| "Issued Capital (Shares)"| "6,65,83,60,987"| Total Market Cap (₹ Lakhs)| 64,25,318.35| Free Float Market Cap (₹ Lakhs)| 30,19,899.63
IDFC| "Issued Capital (Shares)"| "1,59,99,84,436"| Total Market Cap (₹ Lakhs)| 20,75,179.81| Free Float Market Cap (₹ Lakhs)| 17,22,399.25
IBULHSGFIN| Total Market Cap (₹ Lakhs)| 8,69,152.59| Free Float Market Cap (₹ Lakhs)| 7,47,471.23
INDIAMART| Total Market Cap (₹ Lakhs)| 19,59,669.50| Free Float Market Cap (₹ Lakhs)| 9,79,834.75
IEX| Total Market Cap (₹ Lakhs)| 12,43,911.37| Free Float Market Cap (₹ Lakhs)| 10,57,324.66
IOC| "Issued Capital (Shares)"| "14,12,12,38,383"| Total Market Cap (₹ Lakhs)| 1,34,22,237.08| Free Float Market Cap (₹ Lakhs)| 34,89,781.64
IRCTC| "Issued Capital (Shares)"| "80,00,00,000"| Total Market Cap (₹ Lakhs)| 57,36,000.00| Free Float Market Cap (₹ Lakhs)| 21,79,680.00
IGL| "Issued Capital (Shares)"| "70,00,00,800"| Total Market Cap (₹ Lakhs)| 33,47,403.83| Free Float Market Cap (₹ Lakhs)| 16,73,701.91
INDUSTOWER| "Issued Capital (Shares)"| "2,69,49,36,950"| Total Market Cap (₹ Lakhs)| 51,60,804.26| Free Float Market Cap (₹ Lakhs)| 12,38,593.02
INDUSINDBK| "Issued Capital (Shares)"| "77,65,07,028"| Total Market Cap (₹ Lakhs)| 1,12,59,351.91| Free Float Market Cap (₹ Lakhs)| 94,57,855.60
NAUKRI| "Issued Capital (Shares)"| "12,91,84,120"| Total Market Cap (₹ Lakhs)| 58,21,811.55| Free Float Market Cap (₹ Lakhs)| 34,93,086.93
