SYMBOL,SERIES,Adjusted_52_Week_High,52WH_Date,Adjusted_52_Week_Low,52WL_Date
AXSENSEX,EQ,     91.35,02-DEC-2025,     74.00,07-APR-2025
AYMSYNTEX,EQ,    279.33,12-JUN-2025,    145.01,09-DEC-2025
AZAD,EQ,   1899.00,02-JUN-2025,   1159.45,07-APR-2025
BAGFILMS,EQ,      9.27,15-JAN-2025,      5.31,28-MAR-2025
BAIDFIN,EQ,     15.25,22-JAN-2025,      9.01,27-MAR-2025
BAJAJ-AUTO,EQ,   9888.00,08-JAN-2026,   7089.35,07-APR-2025
BAJAJCON,EQ,    310.00,06-NOV-2025,    151.00,07-APR-2025
BAJAJELEC,EQ,    769.90,15-JAN-2025,    433.35,13-JAN-2026
BAJAJFINSV,EQ,   2195.00,23-OCT-2025,   1617.00,01-FEB-2025
BAJAJHCARE,EQ,    745.00,19-MAR-2025,    379.10,13-JAN-2026
BAJAJHFL,EQ,    136.96,24-APR-2025,     92.10,09-DEC-2025
BAJAJHIND,EQ,     30.86,20-JAN-2025,     16.50,07-APR-2025
BAJAJHLDNG,EQ,  14763.00,18-AUG-2025,  10245.10,13-JAN-2025
BAJAJINDEF,EQ,    580.25,04-JUL-2025,    199.24,04-MAR-2025
BAJEL,EQ,    263.90,18-JUL-2025,    146.41,07-APR-2025
BAJFINANCE,EQ,   1102.50,23-OCT-2025,    710.52,15-JAN-2025
BALAJEE,EQ,     72.85,23-JAN-2025,     38.10,13-JAN-2026
BALAJITELE,EQ,    141.32,26-SEP-2025,     49.02,04-MAR-2025
BALAMINES,EQ,   1945.00,07-JUL-2025,   1065.60,06-JAN-2026
BALAXI,EQ,     81.13,14-JAN-2025,     23.86,09-JAN-2026
BALKRISHNA,EQ,     25.97,25-SEP-2025,     16.20,07-APR-2025
BALKRISIND,EQ,   2839.95,06-FEB-2025,   2152.05,07-APR-2025
BALMLAWRIE,EQ,    238.20,15-SEP-2025,    146.60,03-MAR-2025
BALPHARMA,EQ,    128.74,04-APR-2025,     69.00,30-DEC-2025
BALRAMCHIN,EQ,    627.80,16-JUL-2025,    407.80,09-DEC-2025
BALUFORGE,EQ,    784.00,12-JUN-2025,    428.40,03-MAR-2025
BANARBEADS,EQ,    164.70,30-OCT-2025,     97.00,29-AUG-2025
BANARISUG,EQ,   4444.00,16-MAY-2025,   3000.30,03-MAR-2025
BANCOINDIA,EQ,    879.80,06-OCT-2025,    297.50,03-MAR-2025
BANDHANBNK,EQ,    192.48,30-JUN-2025,    128.16,18-FEB-2025
BANG,EQ,     70.05,13-JAN-2025,     42.77,07-APR-2025
BANKA,EQ,     98.38,21-JAN-2025,     56.99,03-MAR-2025
BANKADD,EQ,     61.84,12-DEC-2025,     46.50,22-JAN-2025
BANKBARODA,EQ,    311.80,05-JAN-2026,    190.70,04-MAR-2025
BANKBEES,EQ,    624.70,12-DEC-2025,    490.00,11-MAR-2025
BANKBETA,EQ,     63.33,06-JAN-2026,     48.71,11-MAR-2025
BANKBETF,EQ,     65.00,15-MAY-2025,     47.00,11-MAR-2025
